trans_date_trans_time,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
2020-12-27T07:00:41Z,Kemmer-Buckridge,misc_pos,177.79,Burlington,WA,48.4786,-122.3345,14871,Public house manager,1974-03-10,40afa87123bfc47d54a7b0acb050d10d,47.988347,-122.468635,0
2020-04-13T23:45:37Z,"Reinger, Weissnat and Strosin",food_dining,1.12,Moab,UT,38.5677,-109.5271,9772,Location manager,1989-11-24,ca167568ce39b89c1fce38a43fb4ab05,38.073056,-109.041538,0
2019-03-03T10:01:15Z,Luettgen PLC,gas_transport,68.04,Moriarty,NM,34.9889,-106.0609,7268,"Therapist, art",1988-08-04,f442de28da0fa4e5868d83a66efc94d7,35.124798,-106.919941,0
2020-09-07T01:13:26Z,"Kutch, Hermiston and Farrell",gas_transport,81.38,Orient,WA,48.8878,-118.2105,149,Special educational needs teacher,1978-06-21,cbc8e3a6f694eb238273fcee5ebd5847,48.544296,-119.063181,0
2019-01-18T12:59:59Z,Homenick LLC,personal_care,15.88,Glendale,CA,34.1556,-118.2322,172817,Advertising account planner,1982-07-30,de814c4cbcf537e4dd3948c1f02555da,34.970303,-118.895677,0
2019-12-04T22:52:25Z,"Monahan, Hermann and Johns",travel,7.12,Tomales,CA,38.2427,-122.9145,337,Occupational psychologist,1954-07-05,2e8b7fdea58f18590d923bda285870ff,37.548694,-123.057586,0
2019-10-19T02:13:45Z,"Wiza, Schaden and Stark",misc_pos,1.99,Freedom,WY,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,9c5b1e4d90d3d80f1c744280666f509b,42.424981,-110.344309,0
2019-12-14T17:12:08Z,Abbott-Rogahn,entertainment,34.63,Napa,CA,38.4549,-122.2564,94014,Airline pilot,1985-08-21,2dbea46e9c688540bba42298624fb2da,38.814635,-121.284963,0
2020-03-17T01:12:15Z,Kutch LLC,gas_transport,61.88,Daly City,CA,37.6787,-122.478,107941,"Buyer, industrial",1991-10-04,b09d182582f18d0128ae965beeb754b1,37.175229,-122.498752,0
2020-03-15T05:34:17Z,"Eichmann, Bogan and Rodriguez",gas_transport,61.68,Port Costa,CA,38.046,-122.1866,198,Armed forces training and education officer,1959-03-31,12ddd712ef7bdd7ab558a2b54a80c26c,38.350085,-121.330203,0
2019-03-31T11:44:36Z,Heidenreich PLC,grocery_pos,210.74,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,1981-10-24,ef5d00737637c782fb7ab88e2de96794,33.577961,-111.256167,0
2020-02-15T20:51:12Z,O'Keefe-Wisoky,food_dining,3.65,Phoenix,AZ,33.8155,-112.1202,1312922,Counselling psychologist,1999-11-30,0929f0fd906d47a82b957e9f16afadb0,34.402756,-112.229453,0
2020-09-08T03:31:14Z,Miller-Harris,misc_net,320.25,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,1987-10-28,8c3340c61aa5c752cb5cd814ab40ac26,34.21358,-111.848519,0
2020-12-10T03:26:50Z,"Moen, Reinger and Murphy",grocery_pos,107.77,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,1974-12-23,015d21ee12b228db5074c15c931b7779,40.14535,-93.337434,0
2020-06-01T15:30:42Z,"Schiller, Blanda and Johnson",home,95.52,Fort Washakie,WY,43.0048,-108.8964,1645,Freight forwarder,1976-02-26,c437070c4fd336c7b3e05385a6454d87,43.328512,-109.160268,0
2020-10-12T21:01:17Z,Altenwerth-Kilback,home,34.91,Ballwin,MO,38.577,-90.5255,92608,"Engineer, communications",2001-07-26,869299e391efddb4683bb8b08e8f96ab,38.602528,-89.987546,0
2019-04-21T03:20:57Z,Kris-Padberg,shopping_pos,37.17,Claremont,CA,34.1092,-117.7183,35705,Wellsite geologist,1956-05-15,dc01e9df20b4c820c8903857535fbc84,33.168991,-117.409294,0
2020-04-06T00:32:31Z,Brekke and Sons,gas_transport,47.21,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,1999-05-31,9eae9eb6c920778193bb7dbb95c662ec,47.544315000000005,-117.915443,0
2020-09-11T17:12:11Z,"Crist, Jakubowski and Littel",home,74.97,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,1974-12-23,a88f73d8fe4013af334484472ff3cea1,40.428854,-93.084096,0
2020-11-02T19:39:15Z,O'Keefe-Wisoky,food_dining,12.35,Lake Oswego,OR,45.4093,-122.6847,42817,Planning and development surveyor,1982-05-28,591d13d840078d9c41f398a28a7ba363,45.523748,-122.149345,0
2020-09-04T06:55:54Z,"Ferry, Lynch and Kautze",misc_net,2.65,Luray,MO,40.4931,-91.8912,519,Town planner,1966-02-13,c159b86811a04adb8c8f03a76220516d,41.474142,-92.513297,0
2020-03-28T17:33:11Z,"Schumm, McLaughlin and Carte",food_dining,9.85,Utica,MO,39.7417,-93.6289,271,Land/geomatics surveyor,1972-04-18,2ea03c23c08d9deb249a24a92e298ab6,39.496737,-93.200799,0
2019-08-03T18:43:52Z,"Walter, Hettinger and Kessle",personal_care,14.28,Matthews,MO,36.7154,-89.6287,1019,Aeronautical engineer,1979-01-26,5a479fa2eff1b4f6528f8808e0569c42,35.988746,-90.345727,0
2019-06-15T19:10:35Z,"Kling, Howe and Schneide",home,126.27,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,1972-07-18,374aeac561c8e7d656ee58e47be16f8d,35.435027000000005,-105.232166,0
2019-12-14T15:53:02Z,"Wuckert, Wintheiser and Friesen",home,40.75,Burbank,WA,46.1966,-118.9017,3684,Musician,1981-11-29,c5d24107babdcbb5961bb3fe521bd02f,46.681987,-118.625257,0
2019-04-01T22:52:19Z,"Nienow, Barrows and Romague",personal_care,147.34,Meridian,ID,43.6498,-116.4306,84106,Intelligence analyst,1971-02-11,cbf816e7953780dcdc31907348d6c64e,44.564145,-116.131305,0
2019-03-08T20:57:54Z,Baumbach Lt,personal_care,20.99,Meridian,ID,43.6498,-116.4306,84106,Intelligence analyst,1971-02-11,3fe8384683c919b82338515bf00e3075,44.575466,-117.187106,0
2020-12-10T14:29:40Z,Spencer PLC,entertainment,37.32,Moriarty,NM,34.9889,-106.0609,7268,"Therapist, art",1988-08-04,1ebacb611bdcc0f3ef79243b530cae98,34.008802,-105.584785,0
2019-04-08T14:49:32Z,Medhurst Inc,home,56.01,Gardiner,OR,43.7857,-124.1437,260,"Engineer, maintenance",1956-09-01,68abb0518712e3db9d99c6576b60faf1,44.266004,-124.294892,0
2020-01-16T06:31:49Z,"Osinski, Ledner and Leuschke",grocery_pos,142.05,Kirk,CO,39.6171,-102.4776,207,Network engineer,1955-12-04,26c7064b825d6f54489601ec9478df2e,40.299072,-102.03306,0
2019-07-29T11:25:04Z,"Swaniawski, Bahringer and Ledne",grocery_net,71.88,Moriarty,NM,34.9889,-106.0609,7268,"Therapist, art",1988-08-04,23e35bb3c52a5296f4a49b6ffac74f1d,34.628893,-105.823477,0
2019-11-16T18:06:08Z,"Nienow, Barrows and Romague",personal_care,36.49,Manville,WY,42.73,-104.7024,241,Educational psychologist,1980-12-16,1c6606ab555fec84e9fe1693ec4b06a0,42.96166,-105.180554,0
2020-08-16T13:31:28Z,"Medhurst, Cartwright and Ebert",personal_care,59.2,Colton,WA,46.5901,-117.1692,761,Chief Marketing Officer,1943-06-30,2df670b9c080f6559f70f876aeaedab3,46.386396000000005,-117.219813,0
2020-11-04T18:24:24Z,"Turcotte, Batz and Buckridge",health_fitness,51.41,Redford,MO,37.3272,-91.0243,241,Investment analyst,1974-10-27,e89f08b139f2ea4608c9f38d372cfbaf,36.693963,-90.192731,0
2019-12-15T00:14:54Z,Harber Inc,gas_transport,53.53,Rock Springs,WY,41.606,-109.23,27971,Music therapist,1984-08-01,f781db94b75aacda2e6376a5defd5db5,40.812977,-109.194531,0
2020-03-29T22:13:58Z,O'Connell-Ullrich,home,14.25,Red River,NM,36.6659,-105.4694,606,"Surveyor, land/geomatics",1988-09-06,f5b59426d4934e1b8f7f43251637c242,35.679078999999994,-104.593109,0
2019-12-12T17:28:04Z,"Bahringer, Osinski and Block",food_dining,192.28,Burbank,WA,46.1966,-118.9017,3684,Musician,1981-11-29,8b73d54a95d4f5afe8c4d795e84f9e62,46.777675,-119.512797,0
2019-05-09T17:48:06Z,"Bernier, Volkman and Hoege",misc_net,31.11,Ruidoso,NM,33.3305,-105.6933,8874,Licensed conveyancer,2000-08-16,16ab35583cf09dab8398beda6fb77cf7,33.18165,-105.393495,0
2020-10-25T19:19:29Z,Deckow-Dare,food_dining,62.44,Carlotta,CA,40.507,-123.9743,1139,"Therapist, occupational",1951-01-15,59b101d518d8b2e1844811cbf4e976e2,39.677665000000005,-124.555274,0
2019-06-26T20:54:17Z,Gottlieb-Hansen,personal_care,39.47,Mountain Center,CA,33.6401,-116.5567,1661,"Therapist, music",1988-09-19,b833337abada566dced0375911130c07,33.26652,-115.752058,0
2019-08-11T17:49:38Z,"Ledner, Hartmann and Feest",health_fitness,28.33,Hawthorne,CA,33.9143,-118.3493,93193,"Editor, magazine features",1995-04-19,555059a7781ca0b714c8ddd8dbd93946,34.627164,-117.42498799999998,0
2020-09-07T23:04:29Z,Hammes-Beatty,kids_pets,27.81,Burlington,WA,48.4786,-122.3345,14871,Public house manager,1974-03-10,94c40e2374fdbb33629c827962623b8f,49.22385,-121.503223,0
2020-06-22T12:03:42Z,Dibbert-Green,entertainment,159.76,Oakland,CA,37.7878,-122.1884,381459,Barista,1974-01-03,6c28ace2ab54a2a51a003c672e0dd94e,38.321947,-122.171275,0
2019-03-19T12:43:25Z,Padberg-Saue,home,101,Matthews,MO,36.7154,-89.6287,1019,Aeronautical engineer,1979-01-26,549d3c104abf2cd72a0780521da12c08,37.506342,-89.788599,0
2019-03-24T15:00:43Z,Crooks and Sons,personal_care,7.56,Littleton,CO,39.5994,-105.0044,320420,Water engineer,1975-07-31,34b33aa343c7c313439a08ebbffe507e,40.266991,-105.727448,0
2020-05-24T09:29:50Z,Fisher Inc,shopping_net,12.81,Scotts Mills,OR,44.9897,-122.6187,1252,"Engineer, petroleum",1937-02-06,bd34c28faed03acc67b7a1846cb1ec7d,44.807014,-122.943045,0
2020-05-23T14:58:55Z,Romaguera Lt,health_fitness,72.23,Newberg,OR,45.3099,-122.9685,28278,Research scientist (physical sciences),1977-07-17,b4e31b4dd5e63f12306cc04153850840,44.793331,-122.41451200000002,0
2019-06-16T07:27:02Z,Wolf Inc,grocery_pos,241.01,Lakeport,CA,39.047,-122.9328,11256,Podiatrist,1972-10-18,64178b5fedaf8ac1aa32b229ba086b23,39.683475,-123.387745,0
2020-11-14T22:40:40Z,Gottlieb-Hansen,personal_care,19.38,Indian Wells,CA,33.7163,-116.3381,4677,Learning mentor,1955-05-06,5bf99c6b16a5b265106cefe3dee54c1d,34.565574,-116.795732,0
2020-10-05T14:33:13Z,Haag-Blan,food_dining,14.33,Manville,WY,42.73,-104.7024,241,Educational psychologist,1980-12-16,2f8b82f141976079b845b1f376327927,41.80485,-105.257675,0
2019-02-01T08:41:36Z,McGlynn-Jaskolski,misc_pos,36.31,Helm,CA,36.4992,-120.0936,123,Early years teacher,1973-02-07,9fcae2238daaa0214c45f2478797e11e,37.059137,-119.463655,0
2019-06-24T20:16:00Z,Champlin and Sons,home,47.69,Carlotta,CA,40.507,-123.9743,1139,"Therapist, occupational",1951-01-15,3a542d2a7ef14d074555fa6fb1ce6d3a,41.313724,-124.257285,0
2020-05-25T15:50:22Z,"Crist, Jakubowski and Littel",home,9.38,Yellowstone National Park,WY,44.7957,-110.6137,369,Materials engineer,1941-11-16,666b988810f492fa9b608dc54ee08b1b,44.558384,-111.164597,0
2020-10-12T11:47:07Z,Williamson LLC,misc_pos,33.38,Alva,WY,44.6873,-104.4414,110,"Administrator, local government",1973-05-16,50e79e918bb015bbe4439b795ff00d61,44.986021,-104.702927,0
2020-04-06T22:00:55Z,Ernser-Feest,home,89.55,Burbank,WA,46.1966,-118.9017,3684,Musician,1981-11-29,de1c40bc6e9877a685d5f57d77e11d6b,46.205044,-118.080488,0
2019-08-31T14:37:55Z,Wiza LLC,misc_pos,3.72,Conway,WA,48.34,-122.3456,85,"Research officer, political party",1984-09-01,2930ae2d9921b6e063f10eed4806454a,49.068986,-122.016523,0
2019-03-17T22:18:23Z,Morissette-Schaefe,personal_care,79.51,Powell Butte,OR,44.2415,-121.0113,2016,Local government officer,1953-12-25,272a959212156cfb35d1740e1de7d113,43.381809,-120.027012,0
2020-10-30T00:27:38Z,Ledner-Pfannerstill,gas_transport,96.41,Indian Wells,CA,33.7163,-116.3381,4677,Learning mentor,1955-05-06,caad34bdd984e2021b36cd2102083667,34.686637,-115.573839,0
2019-02-05T02:29:16Z,Botsford Lt,shopping_pos,2.06,Tomales,CA,38.2427,-122.9145,337,Occupational psychologist,1954-07-05,a9400ef8029e3e6efd1c20121da0c12c,39.155591,-122.642317,0
2020-06-03T18:38:29Z,Padberg-Rogahn,entertainment,13.12,Rocky Mount,MO,38.2911,-92.7059,1847,Tax inspector,1988-10-26,83649b759bd3c049a1c57d2f9c98554d,39.055473,-93.395454,0
2019-03-06T18:25:27Z,"Swaniawski, Lowe and Robel",shopping_pos,31.82,Meridian,ID,43.6498,-116.4306,84106,Intelligence analyst,1971-02-11,1f4c0e1a95329a3b50d86aa50266a092,43.038323,-117.245351,0
2019-05-25T07:11:47Z,Morissette PLC,shopping_pos,8.17,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,1967-01-24,9308ae6f89c22a04f416ef8f10044607,35.999431,-106.984633,0
2020-05-04T16:10:07Z,Balistreri-Nade,misc_pos,4.52,Paauilo,HI,20.0271,-155.3697,1490,"Scientist, research (maths)",1991-04-13,24f6bbcb1b32d58f7b95c33ba794d8f1,19.934293,-154.74895800000002,0
2020-12-29T16:21:46Z,Reilly LLC,home,72.16,Smith River,CA,41.9404,-124.1587,1930,Web designer,1983-06-13,51f6e6080665ca2942359c709ef873fa,42.263105,-124.525364,0
2019-04-02T19:54:33Z,"Wuckert, Wintheiser and Friesen",home,9.22,Grenada,CA,41.6125,-122.5258,589,Systems analyst,1945-12-21,a0cbd19d5054ef4671b38ffafdd8327b,42.255608,-121.591013,0
2019-11-02T15:01:57Z,Bashirian Group,shopping_net,9.7,San Jose,CA,37.3304,-121.7913,973849,Geoscientist,1997-01-18,706f3e949c72db00317f746bf1b9d373,36.950255,-121.49267999999999,0
2019-05-28T16:18:07Z,"Berge, Kautzer and Harris",personal_care,13.83,Colton,WA,46.5901,-117.1692,761,Chief Marketing Officer,1943-06-30,8cf88dbfa54a2a39a5bc92201e5574ef,47.362778000000006,-116.560582,0
2019-08-01T04:43:49Z,"Kovacek, Dibbert and Ondrick",grocery_pos,109.68,Dumont,CO,39.7532,-105.6356,565,Mental health nurse,1978-08-27,224957706ce7d6ed467af28263d44dc8,39.251347,-105.229951,0
2019-02-17T21:57:15Z,"Lubowitz, Terry and Stracke",personal_care,60.03,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,1981-10-24,6f228b6331366870d639c81d072ad6b9,34.256593,-111.196848,0
2020-12-19T13:57:02Z,Waelchi-Wol,kids_pets,25.26,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,1984-02-29,5622af4297413809f0586e679d0e8632,46.503405,-121.013201,0
2019-11-22T15:32:11Z,Klein Group,entertainment,72.68,Campbell,NE,40.2967,-98.737,493,"Surveyor, minerals",1940-09-13,e7d04a7685917d1da61a884371efec70,40.976341,-99.321978,0
2020-12-01T10:03:30Z,"Watsica, Haag and Considine",shopping_pos,252.5,Grenada,CA,41.6125,-122.5258,589,Systems analyst,1945-12-21,342622f8cca20bdfb29ebb2bd3d51bad,41.255987,-122.218429,0
2020-08-29T02:55:25Z,Cassin-Harvey,grocery_net,51.27,Kirk,CO,39.6171,-102.4776,207,Network engineer,1955-12-04,7e047b9053ed225bca9331663f1866aa,39.133471,-103.007329,0
2019-01-12T21:51:05Z,"Torp, Muller and Bore",health_fitness,63.03,Parks,AZ,35.2563,-111.95,759,"Geologist, engineering",1957-03-28,5eee05d95031afa3cb263955b6baa014,34.787748,-111.467935,0
2019-12-02T03:26:22Z,Vandervort-Funk,grocery_pos,128.56,Huslia,AK,65.6899,-156.292,277,"Engineer, civil (consulting)",1965-11-06,fcf6973a1bb95db3ab2183ac997f6351,64.993339,-155.479925,0
2020-03-15T23:52:31Z,White and Sons,home,58.37,Napa,CA,38.4549,-122.2564,94014,Airline pilot,1985-08-21,48309ad6a91e82a1d9fdd925ccad9316,37.723,-121.909831,0
2019-07-04T23:35:52Z,"Turcotte, McKenzie and Koss",entertainment,85.64,Colton,WA,46.5901,-117.1692,761,Chief Marketing Officer,1943-06-30,72a53d402ae84a955a9a7c7028f8cb5d,46.499605,-117.540805,0
2019-06-19T18:02:41Z,"McDermott, Osinski and Mo",home,18.24,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,1973-09-22,acbae93d1ebc1de8f0dc2408fcbc1ed4,33.886689000000004,-117.996541,0
2020-02-03T00:17:57Z,Flatley Group,misc_pos,23.61,American Fork,UT,40.3928,-111.7941,42384,Futures trader,1992-12-29,3329812f3be96db3d67f4aabedc139ba,40.028253,-111.428734,0
2020-12-11T03:22:05Z,"Stroman, Hudson and Erdman",gas_transport,74.7,Eugene,OR,44.0385,-123.0614,191096,"Scientist, physiological",1964-04-06,b75b2d81b078d304a0267103877f2cfb,44.146416,-122.767985,0
2020-06-29T13:31:24Z,Schaefer Lt,kids_pets,171.79,Littleton,CO,39.5994,-105.0044,320420,Water engineer,1975-07-31,f2612e2156c3157ce2979a35866fc455,39.480522,-104.814065,0
2020-07-09T02:09:08Z,"Wiza, Schaden and Stark",misc_pos,264.68,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,1984-02-29,f3c13faed7dd3782105b04d24668267d,48.087831,-122.201904,0
2020-12-07T06:24:37Z,Erdman-Kertzmann,gas_transport,68.86,Ballwin,MO,38.577,-90.5255,92608,"Engineer, communications",2001-07-26,40cf33788924b74010c5d9dc535383e2,39.522271,-90.06052199999999,0
2019-11-06T03:03:45Z,Rau and Sons,grocery_pos,209.47,Albuquerque,NM,35.1506,-106.569,641349,Civil Service administrator,1976-04-11,4c5d4241ac55569966ce3a4685aa79b7,35.131174,-106.358054,0
2019-10-31T19:07:47Z,Schaefer Lt,kids_pets,52.97,Ravenna,NE,41.0233,-98.9041,2202,"Solicitor, Scotland",1974-06-21,3b395c27cef6a3c00bf8a5c03d1b0ac6,40.549244,-99.538783,0
2019-09-29T07:02:45Z,"Yost, Block and Koepp",misc_pos,24.03,Laramie,WY,41.4247,-105.4781,35371,"Pilot, airline",1988-09-02,6d2dd7892023b7d18f70031b05a04501,41.523539,-104.959654,0
2019-06-15T15:48:42Z,"Medhurst, Cartwright and Ebert",personal_care,58.95,Cardwell,MO,36.0434,-90.2907,1120,Television floor manager,1957-04-17,fbbadd90144cc2c455037db78fbd7aac,36.155488,-90.432055,0
2020-04-14T03:14:12Z,Skiles-Ankunding,grocery_net,32.54,Ballwin,MO,38.577,-90.5255,92608,"Engineer, communications",2001-07-26,b32ca8464599d2f5b55eda1cc82e2d3c,37.666687,-89.648646,0
2020-05-02T15:42:36Z,Adams-Barrows,health_fitness,45.76,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,1973-09-22,71a447d4a565444f2161e6116549359e,34.687868,-117.955545,0
2019-07-27T01:28:57Z,Kris-Padberg,shopping_pos,143.73,Santa Monica,CA,34.0287,-118.4924,92043,"Civil engineer, contracting",1961-04-25,dab112c1ef7a90e8eb751c2488dff925,33.698766,-119.415891,0
2020-12-01T23:58:54Z,"Zboncak, Rowe and Murazik",shopping_net,7.75,Rock Springs,WY,41.606,-109.23,27971,Music therapist,1984-08-01,b2eb724239689c22c7c2c509914837ab,41.320429,-110.157978,0
2020-05-10T04:56:28Z,Morar Inc,grocery_net,100.39,San Diego,CA,33.0067,-117.069,1241364,Chartered public finance accountant,1959-08-05,c47208ac7618ed2e128341cf409f7db4,32.871429,-116.126369,0
2020-03-14T07:03:35Z,Schulist Lt,food_dining,106.69,Parker,CO,39.5102,-104.7216,84861,Materials engineer,1932-03-10,45884fbbb9f380a598ad18b4e94775af,39.025754,-104.679286,0
2019-03-02T15:23:40Z,"Hintz, Bauch and Smith",health_fitness,80.79,Oakland,CA,37.7878,-122.1884,381459,Barista,1974-01-03,78f8aab5d2b91429e3d293e3f4429a28,37.045878,-121.620191,0
2019-01-18T21:45:57Z,Kertzmann LLC,health_fitness,107.98,Daly City,CA,37.6787,-122.478,107941,"Buyer, industrial",1991-10-04,f17fb32318c3a3512a64e51ac5cd5f22,38.677298,-121.76604,0
2019-08-18T03:40:28Z,Lockman Lt,grocery_pos,185.68,Littleton,CO,39.5994,-105.0044,320420,Water engineer,1975-07-31,8ffc285b26cd599843ae3077f69ef4c7,38.833657,-105.242262,0
2019-07-18T14:31:51Z,Eichmann-Kilback,home,27.44,Aurora,CO,39.6662,-104.835,389246,"Scientist, marine",1969-12-12,c3e6fb7e91865cc4b42bfecc65ed22ee,39.956738,-105.244598,0
2019-09-28T18:53:38Z,Hackett Group,travel,7.02,Scotts Mills,OR,44.9897,-122.6187,1252,"Engineer, petroleum",1937-02-06,7aac8a1888eee0c25e984b2deb17072b,44.560393,-122.24151100000002,0
2020-07-07T17:22:21Z,Romaguera and Sons,travel,536.83,Lonetree,WY,41.0552,-110.1603,49,Research scientist (physical sciences),1981-07-05,f38cd45bb586f8030bc96061eb176b3a,41.524969,-111.028728,0
2019-03-08T15:28:34Z,"Lakin, Ferry and Beatty",food_dining,2.85,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23,01bffa40f7645f07dee5ab9f8148301f,38.203954,-109.565263,0
2019-08-30T11:31:37Z,Koelpin and Sons,misc_net,2.7,Redford,MO,37.3272,-91.0243,241,Investment analyst,1974-10-27,6e1e32fb401e1ae98310ff77c22b127b,36.795951,-90.15395,0
2019-06-23T15:04:57Z,Veum-Koelpin,travel,9.68,Newhall,CA,34.3795,-118.523,34882,Health physicist,1971-04-25,b5abea9cde290e20719b406de42cd1a2,34.794885,-117.660774,0
